,Inflation,Domestic Growth,Trade Balance,Value of Currency,date,country,one_month_10y,three_month_10y,six_month_10y,twelve_month_10y,one_month_3m_ib,two_month_3m_ib,three_month_3m_ib,six_month_3m_ib,twelve_month_3m_ib
1712,15.970902172001926,18.497780362764995,19.113295891068198,15.401478367192405,1999-10-11,united states,-0.012761780104712073,0.08982329842931924,-0.019874621107743184,-0.06109760658189978,0.008333333333333304,-0.008333333333333304,0.0016666666666667052,0.1183333333333334,0.10833333333333339
1713,20.026073932647705,19.235849924709488,20.233801146348316,13.874457120895386,2019-06-25,euro area,-0.3782751936102007,-0.9167298681108225,-0.3619870704132191,-0.3895082649178624,0.10936322656549358,0.23953121976837322,0.26959996525214036,0.20006080875646082,0.14320462146549096
1714,15.977051216695044,18.2155338426431,15.827191025018692,14.386800399848394,2000-02-25,united kingdom,-0.046852538733206606,-0.04106696008660615,-0.0538626723694251,-0.1437343603031217,-0.0015117485143021359,0.009403941447398978,0.010540558304918068,-0.003249537898717514,-0.07715207741178387
1715,17.39392448748861,22.473581830660503,18.573562869658836,14.0497025847435,2021-09-27,euro area,0.7912700334945237,0.4192607003866007,4.360649980279474,13.308403807321401,0.00874068249600013,0.04094737719956654,0.06772108066557192,-0.09102116442404118,-2.85464098073556
1716,13.798264622688293,16.817755358559744,17.379601390465446,17.108423207935534,2002-03-20,euro area,-0.003614922201340409,-0.028513986326851648,-0.14919150209499366,-0.223700859295213,0.004749546391636272,0.022512788615182355,0.021587825881797862,-0.02378705404539927,-0.25387743867158785
1717,17.331929302641324,16.830866997148476,11.28453709862449,14.82402354478836,2018-11-16,euro area,-0.13781067001401448,-0.20337185407362113,-0.3803595308804121,-0.7854593595278468,-0.014125831820931412,-0.026436781609194382,-0.0250143678160909,-0.014224137931034497,0.26843185550082116
1718,14.751240933934847,15.945126149389479,17.662503868341446,16.516074908746255,2012-11-23,euro area,-0.06571856345244098,0.2722239025516562,0.1953740212963886,0.41150968574623614,-0.03399122807017707,0.06723484848484906,0.16328125000000004,0.04805871212121349,0.1634424603174578
1719,17.26983717083931,16.3457856575648,22.209173068404198,13.276909899711608,2019-03-27,euro area,-0.0401609937242039,-0.42060083680366,-0.9517533552641616,-0.6283906416389375,0.00407361774218451,0.008645674362599776,0.06374557215462873,0.3505313414446347,0.34750710555423536
1720,16.803447157144547,21.312534242868423,16.05059098113667,18.798801388059342,2021-02-08,euro area,1.2998047105517148,4.860941576069937,-0.0705487713421451,13.680264510575698,-0.0037202799450397617,-0.005451857327665843,-0.0018568876450971716,0.011995766200164404,-0.017741637312881253
1721,17.89336983499856,16.27440646290779,11.4156440893809,11.25369980931282,2017-07-12,canada,-0.01276920144844862,0.07492263152640466,0.15208690680388903,0.14630128781072327,-0.010958904109588996,0.34246575342465757,0.31506849315068486,0.5945205479452054,0.8835616438356164
1722,12.516522017809061,15.364470112891425,22.57640767097473,11.168213974345814,2016-06-03,united states,-0.08520873652197969,-0.008281001092723561,0.5156733414958461,0.33010782416367146,0.17741935483870974,0.20967741935483875,0.16129032258064502,0.4516129032258065,0.967741935483871
1723,16.106280269044817,17.070091651244596,16.316357363354076,16.0437319402037,2018-03-06,united kingdom,0.001856763925729421,-0.05643236074270552,-0.0037798408488063373,-0.21087533156498672,0.20347856529072916,0.024076254734094915,0.016326660513669378,0.2745138601572197,0.3366856560898761
1724,20.68021023273468,17.38150790333748,18.25722044911878,10.55467277765274,2000-03-22,united states,-0.042514904356095284,-0.025453281950849727,-0.07312717164697713,-0.21914208099058696,0.06847133757961776,0.07165605095541405,0.06210191082802541,0.06210191082802541,-0.2786624203821656
1725,14.286411583423615,17.690509557724,17.382533578645614,16.604257341354124,2017-02-22,united kingdom,-0.08561801194669938,-0.14420278756317972,-0.13914841476489503,0.2279062643590135,-0.03103100297135175,-0.06057633010035324,-0.12874922913045928,-0.21177888658406685,0.5328530582497057
1726,15.601027011871338,23.46435546875,17.940702182906016,18.544465881675038,2002-05-30,euro area,-0.026074300921580473,-0.10787729579629657,-0.13402909445069777,-0.26105928595457495,-0.0009045977162175367,-0.016479410569371078,-0.03323413348715787,-0.09892703099042965,-0.3076350169838369
1727,16.64690138399601,18.673434505860012,17.280005437356454,17.150716611317225,2011-10-24,euro area,0.07740718398788005,-0.0423024799923537,-0.17104836187732186,-0.4347348792704906,-0.057857607898399,-0.0950352038195359,-0.22440477662125768,-0.5276755936618802,-0.8680635205921649
1728,15.559669670959314,13.864422062268623,16.48849409360152,15.312969833612442,2013-03-20,euro area,-0.056917135661265994,0.014315090231169503,0.12533686875330097,-0.046589109671291595,0.01385470470643968,-0.02340561646555206,0.02038340208687206,0.08341710865370056,0.48184097710911433
1729,16.663222044706345,18.11705255880952,17.47013543333326,16.767790131270885,2021-06-02,euro area,-0.46013201457456454,-0.3528426489054184,-0.08151500462516692,7.0209650800202095,0.00351640991292701,0.008623576691225487,0.003935030140655327,0.07192259529980394,-0.5593603482920293
1730,15.704980476626329,16.36961888183247,14.799848943948746,16.80399129788081,2014-02-28,japan,0.03242320819112621,-0.03412969283276435,-0.167235494880546,-0.4368600682593856,0.0,-0.020000000000000018,-0.020000000000000018,-0.8200000000000001,-0.88
1731,16.37149523605,14.749614936964852,17.340514709552128,17.289267629384995,2011-02-18,euro area,0.002682242899190612,-0.024466967271769224,-0.06042646794755502,-0.16358817211931254,0.08168552024884268,0.21574467569890943,0.31133278959365995,0.42819135635770844,-0.03539386769200836
1732,15.671004301309585,15.949553603475744,16.099164128303528,16.342767649575283,2006-06-16,united states,-0.00369414278084379,-0.07585899946590724,-0.10611536407334887,-0.0006866909127903886,-0.014652014652014711,-0.02197802197802201,-0.023809523809523836,-0.02564102564102555,-0.02564102564102555
1733,15.885455071926117,18.342627174145466,19.962345021111624,16.15541377947444,2016-05-23,japan,0.9166666666666667,-0.41666666666666663,-1.1666666666666667,-1.3333333333333335,0.0,0.0,0.0,-0.3194444444444444,-1.0694444444444444
1734,15.585940745141771,15.637101096766335,15.461093868528094,16.990316564386543,2019-05-15,euro area,-0.34101338268864245,-0.88611902165893,-0.6537659317555844,-0.45084473337375985,0.05462760530535027,0.1699650830465833,0.30724384200553945,0.28673454515168584,-0.12798425885439335
1735,15.13402813520187,16.384638239597454,16.138086915016174,16.21275473724712,2008-06-19,united kingdom,-0.030881139281807135,-0.12287200353146654,-0.30449302343435114,-0.2856265474156958,-0.016399525081626676,-0.02753211095820185,-0.0031773658220676237,-0.46496296446207397,-0.7906766912221053
1736,22.095818519592285,,15.82950472831726,17.78987020254135,2010-04-21,united states,-0.11095356256646571,-0.21716378859235985,-0.33971404939146876,-0.10185513411319858,0.15555555555555567,-0.08888888888888902,-0.28888888888888886,-0.4,-0.5333333333333334
1737,14.451078027486801,18.15824818807644,15.556901097297668,10.417805165052414,2006-11-28,united states,-0.00668911917098447,0.027722934278702205,0.03288742345737172,-0.0972176165803107,0.0,-0.001879699248120481,-0.00375939849624074,0.001879699248120259,-0.0563909774436091
1738,16.233641750672284,17.392263553208775,14.8152085673064,14.713955146295053,2011-03-03,sweden,-0.014925373134328401,-0.13731343283582087,-0.4537313432835821,-0.417910447761194,0.034482758620689724,0.09770114942528729,0.06321839080459779,-0.09195402298850575,-0.14367816091954022
1739,17.71716034412384,14.6311335620426,13.846130479465831,13.857259035110474,2019-09-16,euro area,1.7720748558378205,6.66196612292987,6.702283970122906,1.5728067688973537,-0.011260021716820612,-0.03900102634280034,-0.05477249401300133,-0.002239293378533902,0.17671756912263015
1740,15.873118415474892,19.828585303106973,17.52537972048709,15.958649019400278,2018-02-16,australia,-0.046397188049209226,-0.019332161687170557,-0.0896309314586996,-0.2527240773286469,0.09039548022598876,0.16384180790960445,0.10734463276836159,0.10734463276836159,0.10734463276836159
1741,15.371823704077137,17.791722466548283,16.98570889116514,14.818616624318022,2022-07-14,united kingdom,0.0850191106553555,0.9155402255989562,0.636757714179174,1.0682390230260093,0.21195652173913038,0.5815217391304348,0.8423913043478262,1.179347826086956,1.983695652173913
1742,15.525385841727257,16.80750482082367,16.639693460681222,15.500563527307202,1998-06-09,united states,-0.006367846510089148,-0.12548241261440063,-0.15489579887528948,0.07335428382401599,-0.0017889087656529634,-0.03220035778175312,-0.06797853309481217,-0.12522361359570666,-0.06261180679785328
1743,15.598018323933637,13.838771178766534,15.41717759587548,13.211733175290597,2008-09-19,sweden,-0.08461538461538465,-0.3153846153846154,-0.24615384615384617,-0.1333333333333333,-0.19153674832962142,-0.2873051224944321,-0.5946547884187082,-0.910913140311804,-0.9665924276169265
1744,15.48196683327357,14.626399477322897,,12.271332442760468,2020-02-27,euro area,1.7613740476650768,2.5878561149820127,0.20380996524548145,-0.5176012312641116,0.019044548456314203,-0.3786229668582609,-0.33484162895927594,0.17332587920823284,0.3234682646447353
